full_text,tweet_english,sentiment
harga tiket eco fest calo nambah dikit jadi harga konser full lany kek kemarin njir gmn nih bang,"The ticket price of the eco fest has been increased a little by the scalpers, making it the price of a full concert like yesterday. How much is that, bro?",Netral
lebih plot twist telah gue cek syarat panjang paspor la kok gampang faaaaaak aku malah giddy begini cok jan kadi nanti januari hong kong aja pas stray kids konser nyari tiket via calo gapapa dah penting ketemu anak nyasar,"More plot twists, I checked the passport length requirements, how come it's easy, faaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa a me, I'm still confused like this, right? Jan Kadi, later in January, Hong Kong, at the stray kids concert, looking for tickets via brokers, it's okay, it's important to meet stray kids.",Positif
liat liat konser seventeen banyak bot scam calo reseller overprice emg abang calo sampe web jual pink 24jt 16 tiket sana terus ada banyak yang bilang payment nya gagal jadi inituh konser isi siapa anjir,"Look at the Seventeen concert, there are lots of scam bots, reseller touts, overpricing, there are touts, even the website is selling pink tickets for 24 million, 16 tickets, then there are lots of people saying the payment failed, so who is the one behind this concert, dammit?",Negatif
calo and jastiper gede tiket konser kpop gak pernah mikirin ekonomi sulit plus kpopers kaya raya sih konser mulu,"Big ticket scalpers and jastipers for kpop concert tickets never think about the difficult economy plus kpopers are super rich, they always have concerts",Negatif
idih trauma banget gw liat web goblok mecima untuk calo souncheck ttep fakkk yuh kalian semua carat jangan beli tiket ovp biarin aja turunin harga inget konser lama yang udah secure tiket ingin kalian semo,"I'm so traumatized seeing stupid websites that are for souncheck touts, it's still a fakkk, come on, all of you carats, don't buy OVP tickets, just let them lower the price, remember the old concerts that already had secure tickets, you want to be like that",Netral
bangett ga semua orang jual tiket konser calo ye kenapapada nanya tiket konser,"really, not everyone sells concert tickets, why are you asking for concert tickets?",Netral
isipol msh ngambil jatah tiket konser ujung jadi calo jual ovp 5x harga normal konser org mau healing aja ketemu komplot mrk lg,"Isipol is still taking a share of concert tickets, so brokers are selling OVP 5x the normal concert price. People who want to heal just meet their gang again.",Netral
moga konser tgl 8 9 feb 25 lancar no drama member carat happy semua cuaca dukung baik bong carat berangkat pulang selamat buat caratdeul mau cari tiket ots moga hindar para calo scamme,"Hopefully the concert on 8-9 February 25 will go smoothly, no drama, Carat members will be happy, all the weather will be good, support Carat, go home, congratulations to Caratdeul, I want to look for OTS tickets, hopefully I can avoid the scammers",Positif
gaess percaya tidaaak harga tiket calo kalian beli jauh harga asli platform sedikit banyak jadi timbang promotor bikin base harga next konser pikir orang mampu mampu aja tuh beli tiket konser segitu next naikin segitu aja kali,"Guys, don't believe it, the ticket prices you buy from scalpers are much higher than the original platform prices, so consider it. Promoters make a base price for the next concert, thinking that people who can afford it can buy tickets for that amount for the next concert, then just increase it by that amount.",Netral
siapa cm nungguin konser svt cm ken nonton svt bahkan nonton gda jg cm buat liat svt tp ga dapet tiket section 1st choice siapa lg kl bukan aku org ga terlalu tau svt cm suka salah satu member yang ga dengerin smua lagu calopada dapet,Who just waiting for SVT concert just to watch SVT even watch it not even to see SVT but didn't get 1st choice section ticket who else if not me who doesn't know SVT very well just like one of the members who didn't listen to all of Calopada's songs got it,Netral
bjirr 10jt mending lu tabung buat beli rumah nder tp klaau duit banyak sih serah dah atur aja gw puyeng calo tiket konser ksh harga kagak ngotak bgttt tp beli ttp plissss calo udh bego customernya jangan mau dibegoin,"Bjirr 10 million, it's better if you save it to buy a house, but if you have a lot of money, just give it up, just arrange it, I'm confused by concert ticket brokers, the price doesn't really matter, but buy it, but pls, the brokers are already stupid customers, don't be fooled.",Negatif
mahal emg tiket konser tp gak dr calo sinting sih mff tp mahal bgt momen nyanyi2 bareng temu temen bareng nang tengah konser hiksss,"Concert tickets are really expensive but they're not from crazy brokers, MFF, but they're really expensive when you're singing together and meeting friends who are in the middle of a concert, hiksss",Negatif
misal nih misal aku jual tiket yellow northku cuma 2jt tp mepet konser trus aku upgrade section beli calo kira2 aman ga huhu pikir mau tribun tier 1,"for example, for example, I sell my yellow north ticket for only 2 million but it's close to the concert and then I upgrade the section by buying a ticket scalper. Is it safe, huhu, I thought I wanted a tier 1 tribune?",Positif
sg kalo konser svt gitu ga calo jual tiket pas hari h depan venuenya,"sg if it's a SVT concert like that, there won't be ticket scalpers selling tickets on the day in front of the venue",Netral
sebenernya ga masalah kalo susah ketemu beli tiket konser semua carat yang sebel kalo susah ketemu karena tiket konser beli calo,"Actually, it's not a problem if it's hard to find someone to buy concert tickets. It's all the people who are annoyed when it's hard to find someone because the concert tickets were bought by scalpers.",Negatif
anj lah nik tiket lo murah gw jadi bimbang soal bulan depan ilichil ini 1st konser nct sini udah pasti calo gila minimal ngantongin 1015 buat tiket aja,"Oh my, your tickets are cheap, I'm worried about next month's ilichil, this is NCT's first concert here, there will definitely be crazy scalpers, they'll have to pocket at least 1015 for the tickets alone",Negatif
iyaaach pas gue konser enhypen kemarin sempat ngobrol sama calo tiket dapet promotor dari ordal aman vendor sponsor makan calo kemarin kekeuh bilang kalau tiket ga jual saya ga rugi tinggal balikin aja yang punya,"Yes, when I was at the Enhypen concert yesterday, I had a chance to chat with a ticket scalper who got the promoter from the sponsor vendor's order and the scalper insisted that if I didn't sell the tickets, I wouldn't lose anything, just return them to the owner.",Netral
based pnglaman sndri klo tiket konser lokal tu slagi lu knal sm panitia ny bkalan dapet harga miring bgtt jual org2 150rb misal lu klo panitia nya lngsng bsa 50rb doang dn dri panit jadi calo gt tp biasa 7080k ga smurah panit inti lokal aja bgni aplgi inter,"based on my own experience, if you know the organizers well, you can get a really cheap price for local concert tickets, selling them to people for 150 thousand, for example, if you are the organizer directly, you can get 50 thousand only, and from the organizers, you become a scalper, but usually 70-80 thousand, it's not that cheap for local organizers, let alone international ones.",Netral
ss7s ss8 ss9 ssso lancar semua ticketing kubah tiketing konser exo kl aja lancar bngttp klo mo nonton svt n day6 aja kendalanya2019 day6 gravity udh tendor tinggl beli tiket calo nawarin underprice ku gk lama jae out,"ss7s ss8 ss9 ssso all ticketing is smooth, the ticketing dome for EXO concerts is really smooth, but if you want to watch SVT and Day6, the only problem is that 2019 Day6 Gravity is already tender, just buy tickets, scalpers offer me underprices, it won't be long before I come out",Positif
